outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
160,italian,0.5,0.0005,5,2.4073376655578613,1.6056734323501587,0.32712242007255554,2.342031955718994,1.4099022150039673,0.4329057037830353,4.663875579833984,3.341350555419922
160,portuguese,0.5,0.0005,5,2.010517120361328,1.5996227264404297,0.3209189772605896,1.914756178855896,1.535116195678711,0.3622097074985504,4.54437780380249,3.715384006500244
160,spanish,0.5,0.0005,5,1.8433994054794312,1.4080250263214111,0.3470401465892792,1.890059471130371,1.5153634548187256,0.3386194407939911,4.270986080169678,3.568849802017212
170,french,0.5,0.0005,5,2.472856283187866,1.4943451881408691,0.3122015595436096,2.2921271324157715,1.476249098777771,0.33183038234710693,4.33449649810791,3.5522654056549072
170,german,0.5,0.0005,5,2.5906717777252197,1.5498065948486328,0.28233465552330017,2.376133680343628,1.5035347938537598,0.33848026394844055,5.178280353546143,3.4848952293395996
170,italian,0.5,0.0005,5,2.1310606002807617,1.4304698705673218,0.3213914930820465,2.368211507797241,1.5683817863464355,0.35374945402145386,4.663875579833984,3.341350555419922
170,portuguese,0.5,0.0005,5,2.027310371398926,1.7373683452606201,0.3448091745376587,1.925015926361084,1.5083798170089722,0.3664390742778778,4.54437780380249,3.715384006500244
170,spanish,0.5,0.0005,5,1.8933818340301514,1.5937749147415161,0.34600406885147095,1.807542085647583,1.6752400398254395,0.34290754795074463,4.270986080169678,3.568849802017212
180,french,0.5,0.0005,5,2.235677719116211,1.4911850690841675,0.3346168100833893,2.2186062335968018,1.5127381086349487,0.3727160692214966,4.33449649810791,3.5522654056549072
180,german,0.5,0.0005,5,2.26078200340271,1.4337366819381714,0.3170872926712036,2.1346487998962402,1.3119720220565796,0.3712029457092285,5.178280353546143,3.4848952293395996
180,italian,0.5,0.0005,5,2.0256762504577637,1.3720803260803223,0.3883693516254425,1.9322185516357422,1.520815372467041,0.3210146129131317,4.663875579833984,3.341350555419922
180,portuguese,0.5,0.0005,5,2.0978305339813232,1.4166309833526611,0.3556182086467743,2.009312391281128,1.4883421659469604,0.43952685594558716,4.54437780380249,3.715384006500244
180,spanish,0.5,0.0005,5,1.6583424806594849,1.3929448127746582,0.3861877918243408,1.739412546157837,1.3502542972564697,0.4115464985370636,4.270986080169678,3.568849802017212
190,french,0.5,0.0005,5,2.1288182735443115,1.5037484169006348,0.3860572278499603,2.1074719429016113,1.5737926959991455,0.4175315499305725,4.33449649810791,3.5522654056549072
190,german,0.5,0.0005,5,2.207724094390869,1.5376695394515991,0.3675457537174225,2.2277350425720215,1.3287115097045898,0.4046887457370758,5.178280353546143,3.4848952293395996
190,italian,0.5,0.0005,5,2.0717885494232178,1.4129832983016968,0.3527331054210663,1.9494372606277466,1.4902701377868652,0.3867475390434265,4.663875579833984,3.341350555419922
190,portuguese,0.5,0.0005,5,1.8258198499679565,1.387133002281189,0.4075925052165985,1.940292239189148,1.5586603879928589,0.42320576310157776,4.54437780380249,3.715384006500244
190,spanish,0.5,0.0005,5,1.6547099351882935,1.362749457359314,0.35063326358795166,1.759050965309143,1.4252015352249146,0.44075849652290344,4.270986080169678,3.568849802017212
200,french,0.5,0.0005,5,2.0560061931610107,1.3471379280090332,0.3744799792766571,2.358039379119873,1.4633558988571167,0.4279191195964813,4.33449649810791,3.5522654056549072
200,german,0.5,0.0005,5,2.0395994186401367,1.4979645013809204,0.382996141910553,2.3197450637817383,1.3935638666152954,0.4399569034576416,5.178280353546143,3.4848952293395996
200,italian,0.5,0.0005,5,2.023545265197754,1.4389524459838867,0.37568527460098267,1.7510907649993896,1.3242937326431274,0.48067954182624817,4.663875579833984,3.341350555419922
200,portuguese,0.5,0.0005,5,1.8988431692123413,1.5060688257217407,0.36311233043670654,1.7815245389938354,1.3321771621704102,0.45639121532440186,4.54437780380249,3.715384006500244
200,spanish,0.5,0.0005,5,1.637961745262146,1.289815068244934,0.411869078874588,1.5448663234710693,1.3342541456222534,0.44318604469299316,4.270986080169678,3.568849802017212
210,french,0.5,0.0005,5,2.183825969696045,1.4384543895721436,0.3617318868637085,2.3443946838378906,1.183194875717163,0.45787250995635986,4.33449649810791,3.5522654056549072
210,german,0.5,0.0005,5,1.9497933387756348,1.3107635974884033,0.38749241828918457,2.0348637104034424,1.2725526094436646,0.4388810694217682,5.178280353546143,3.4848952293395996
210,italian,0.5,0.0005,5,1.8053938150405884,1.3259800672531128,0.38475048542022705,1.7802265882492065,1.491343379020691,0.4196774363517761,4.663875579833984,3.341350555419922
210,portuguese,0.5,0.0005,5,1.9153549671173096,1.3252924680709839,0.4128371775150299,1.8267841339111328,1.4131873846054077,0.39929044246673584,4.54437780380249,3.715384006500244
210,spanish,0.5,0.0005,5,1.543397068977356,1.4582715034484863,0.39013612270355225,1.665091872215271,1.5083321332931519,0.43935492634773254,4.270986080169678,3.568849802017212
220,french,0.5,0.0005,5,2.154179573059082,1.3088475465774536,0.42677175998687744,2.106552839279175,1.3518295288085938,0.40136831998825073,4.33449649810791,3.5522654056549072
220,german,0.5,0.0005,5,2.238922357559204,1.6143347024917603,0.440675288438797,1.9562159776687622,1.255330204963684,0.4915640950202942,5.178280353546143,3.4848952293395996
